iter	Passed	Remaining
557	1810	1434
558	1812	1430
559	1817	1428
560	1819	1424
561	1821	1419
562	1823	1415
563	1825	1411
564	1826	1406
565	1832	1405
566	1834	1401
567	1836	1396
568	1838	1392
569	1839	1388
570	1841	1383
571	1845	1381
572	1848	1377
573	1850	1373
574	1852	1369
575	1854	1365
576	1857	1361
577	1863	1360
578	1865	1356
579	1867	1352
580	1870	1348
581	1872	1344
582	1876	1342
583	1880	1339
584	1883	1335
585	1885	1331
586	1887	1327
587	1889	1323
588	1893	1321
589	1895	1317
590	1897	1313
591	1899	1309
592	1901	1305
593	1906	1303
594	1908	1299
595	1911	1295
596	1912	1291
597	1915	1287
598	1916	1283
599	1922	1281
600	1924	1277
601	1926	1273
602	1928	1269
603	1930	1265
604	1932	1261
605	1938	1260
606	1940	1256
607	1942	1252
608	1944	1248
609	1947	1244
610	1953	1243
611	1955	1239
612	1958	1236
613	1960	1232
614	1962	1228
615	1967	1226
616	1970	1223
617	1972	1219
618	1974	1215
619	1976	1211
620	1978	1207
621	1983	1205
622	1985	1201
623	1986	1197
624	1988	1193
625	1990	1189
626	1992	1185
627	1995	1182
628	1998	1178
629	2000	1175
630	2002	1171
631	2004	1167
632	2006	1163
633	2007	1159
634	2012	1156
635	2015	1153
636	2018	1150
637	2020	1146
638	2022	1142
639	2028	1141
640	2030	1137
641	2032	1133
642	2034	1129
643	2036	1125
644	2038	1121
645	2042	1119
646	2044	1115
647	2046	1111
648	2048	1107
649	2050	1104
650	2052	1100
651	2054	1096
652	2058	1093
653	2059	1089
654	2061	1086
655	2063	1082
656	2065	1078
657	2067	1074
658	2070	1071
659	2073	1068
660	2075	1064
661	2077	1060
662	2079	1056
663	2080	1052
664	2082	1049
665	2086	1046
666	2088	1042
667	2090	1039
668	2092	1035
669	2094	1031
670	2096	1027
671	2097	1023
672	2102	1021
673	2104	1017
674	2106	1014
675	2108	1010
676	2109	1006
677	2111	1002
678	2115	1000
679	2119	997
680	2121	993
681	2124	990
682	2127	987
683	2132	985
684	2134	981
685	2136	978
686	2138	974
687	2141	970
688	2143	967
689	2147	964
690	2149	961
691	2151	957
692	2153	954
693	2155	950
694	2157	946
695	2161	943
696	2163	940
697	2165	937
698	2167	933
699	2169	929
700	2171	926
701	2173	922
702	2177	920
703	2179	916
704	2181	912
705	2183	909
706	2185	905
707	2187	902
708	2189	898
709	2192	895
710	2194	891
711	2196	888
712	2197	884
713	2199	881
714	2201	877
715	2204	874
716	2207	871
717	2209	867
718	2211	864
719	2213	860
720	2215	857
721	2216	853
722	2221	851
723	2223	847
724	2225	844
725	2227	840
726	2229	837
727	2231	833
728	2233	830
729	2237	827
730	2240	824
731	2242	820
732	2244	817
733	2246	814
734	2248	810
735	2252	807
736	2254	804
737	2256	801
738	2258	797
739	2259	794
740	2261	790
741	2266	787
742	2268	784
743	2270	781
744	2272	777
745	2274	774
746	2276	770
747	2278	767
748	2282	764
749	2284	761
750	2285	757
751	2287	754
752	2289	751
753	2291	747
754	2293	744
755	2297	741
756	2299	738
757	2301	734
758	2302	731
759	2304	727
760	2306	724
761	2309	721
762	2312	718
763	2314	714
764	2316	711
765	2318	708
766	2320	704
767	2322	701
768	2325	698
769	2328	695
770	2330	692
771	2332	688
772	2334	685
773	2336	682
774	2339	679
775	2342	676
776	2344	672
777	2346	669
778	2348	666
779	2350	662
780	2351	659
781	2355	656
782	2358	653
783	2360	650
784	2362	646
785	2363	643
786	2365	640
787	2367	636
788	2371	634
789	2373	631
790	2375	627
791	2377	624
792	2380	621
793	2382	618
794	2389	616
795	2391	612
796	2393	609
797	2395	606
798	2396	602
799	2398	599
800	2402	596
801	2404	593
802	2406	590
803	2408	587
804	2410	583
805	2412	580
806	2416	578
807	2419	574
808	2421	571
809	2422	568
810	2424	565
811	2426	561
812	2428	558
813	2432	555
814	2434	552
815	2436	549
816	2438	546
817	2440	542
818	2442	539
819	2446	537
820	2449	534
821	2451	530
822	2453	527
823	2454	524
824	2456	521
825	2458	517
826	2462	515
827	2464	511
828	2466	508
829	2468	505
830	2469	502
831	2471	499
832	2473	495
833	2477	493
834	2479	490
835	2481	486
836	2483	483
837	2485	480
838	2487	477
839	2492	474
840	2495	471
841	2497	468
842	2499	465
843	2501	462
844	2502	459
845	2507	456
846	2509	453
847	2511	450
848	2513	446
849	2514	443
850	2516	440
851	2518	437
852	2522	434
853	2524	431
854	2526	428
855	2528	425
856	2530	422
857	2532	419
858	2536	416
859	2538	413
860	2540	410
861	2542	407
862	2544	403
863	2546	400
864	2550	398
865	2553	395
866	2555	391
867	2556	388
868	2558	385
869	2560	382
870	2562	379
871	2566	376
872	2568	373
873	2570	370
874	2572	367
875	2573	364
876	2576	361
877	2579	358
878	2582	355
879	2584	352
880	2586	349
881	2587	346
882	2589	343
883	2591	340
884	2595	337
885	2597	334
886	2599	331
887	2601	328
888	2603	325
889	2604	321
890	2606	318
891	2610	316
892	2613	313
893	2615	310
894	2617	307
895	2618	303
896	2620	300
897	2622	297
898	2626	295
899	2628	292
900	2630	289
901	2632	285
902	2634	282
903	2636	279
904	2640	277
905	2643	274
906	2645	271
907	2646	268
908	2648	265
909	2650	262
910	2652	259
911	2656	256
912	2658	253
913	2660	250
914	2662	247
915	2663	244
916	2665	241
917	2667	238
918	2671	235
919	2673	232
920	2675	229
921	2677	226
922	2679	223
923	2680	220
924	2683	217
925	2687	214
926	2689	211
927	2691	208
928	2692	205
929	2694	202
930	2696	199
931	2700	196
932	2702	194
933	2704	191
934	2706	188
935	2708	185
936	2710	182
937	2711	179
938	2716	176
939	2718	173
940	2720	170
941	2722	167
942	2724	164
943	2726	161
944	2728	158
945	2731	155
946	2733	152
947	2735	150
948	2737	147
949	2739	144
950	2741	141
951	2745	138
952	2748	135
953	2749	132
954	2751	129
955	2753	126
956	2755	123
957	2757	120
958	2762	118
959	2765	115
960	2767	112
961	2769	109
962	2771	106
963	2776	103
964	2778	100
965	2780	97
966	2782	94
967	2784	92
968	2785	89
969	2788	86
970	2791	83
971	2793	80
972	2795	77
973	2797	74
974	2798	71
975	2800	68
976	2804	66
977	2807	63
978	2809	60
979	2810	57
980	2812	54
981	2814	51
982	2817	48
983	2821	45
984	2823	43
985	2825	40
986	2828	37
987	2830	34
988	2833	31
989	2836	28
990	2838	25
991	2840	22
992	2842	20
993	2844	17
994	2846	14
995	2849	11
996	2852	8
997	2854	5
998	2856	2
999	2858	0
